lat,long,timeStamp
52.552544,13.449069,1611852459301
52.552392,13.449178,1611852462569
52.552248,13.449289,1611852465469
52.552086,13.449366,1611852468302
52.551955,13.449435,1611852471302
52.551859,13.449468,1611852474402
52.551712,13.449530,1611852477169
52.551563,13.449609,1611852480236
52.551396,13.449712,1611852483302
52.551269,13.449716,1611852486303
52.551193,13.449674,1611852489302
52.551099,13.449733,1611852492411
52.551018,13.449968,1611852495236
52.550940,13.450227,1611852498402
52.550851,13.450486,1611852501202
52.550758,13.450748,1611852504179
52.550693,13.451025,1611852507305
52.550610,13.451324,1611852510181
52.550522,13.451615,1611852513336
52.550442,13.451887,1611852516403
52.550351,13.452075,1611852519305
52.550254,13.452162,1611852522203
52.550224,13.452338,1611852525304
52.550182,13.452490,1611852528439
52.550118,13.452656,1611852531204
52.550116,13.452685,1611852534370
52.550142,13.452723,1611852537204
52.550162,13.452722,1611852540204
52.550146,13.452724,1611852543172
52.550144,13.452723,1611852547163
52.550145,13.452722,1611852551471
52.550108,13.452755,1611852554419
52.550115,13.452798,1611852557310
52.550099,13.452853,1611852561171
52.550090,13.452893,1611852564204
52.550056,13.452988,1611852567337
52.549981,13.452913,1611852570171
52.549860,13.452846,1611852573404
52.549695,13.452751,1611852576438
52.549532,13.452719,1611852579405
52.549324,13.452680,1611852582504
52.549132,13.452634,1611852585371
52.548952,13.452650,1611852588338
52.548830,13.452684,1611852591171
52.548821,13.452665,1611852594405
52.548811,13.452626,1611852597572
52.548816,13.452614,1611852600405
52.548811,13.452611,1611852603172
52.548811,13.452610,1611852606171
52.548799,13.452616,1611852609205
52.548777,13.452558,1611852612305
52.548753,13.452498,1611852615305
52.548718,13.452471,1611852618173
52.548680,13.452481,1611852621372
52.548635,13.452528,1611852624405
52.548585,13.452591,1611852627539
52.548536,13.452706,1611852630473
52.548409,13.452787,1611852633417
52.548242,13.452879,1611852636439
52.548075,13.452998,1611852639306
52.547884,13.453107,1611852642173
52.547742,13.453160,1611852645306
52.547748,13.453148,1611852648174
52.547694,13.453169,1611852651473
52.547584,13.453237,1611852654306
52.547477,13.453363,1611852657406
52.547333,13.453433,1611852660206
52.547199,13.453500,1611852663173
52.547041,13.453579,1611852666511
52.546890,13.453649,1611852669306
52.546701,13.453771,1611852673307
52.546503,13.453882,1611852677507
52.546317,13.453976,1611852681374
52.546111,13.454089,1611852685617
52.545932,13.454188,1611852689374
52.545797,13.454322,1611852692340
52.545643,13.454425,1611852695607
52.545481,13.454505,1611852698307
52.545329,13.454578,1611852701474
52.545175,13.454663,1611852704174
52.545041,13.454680,1611852707174
52.544939,13.454451,1611852710341
52.544872,13.454211,1611852713308
52.544785,13.453986,1611852716207
52.544707,13.453763,1611852719212
52.544654,13.453576,1611852722208
52.544582,13.453341,1611852725375
52.544453,13.453209,1611852728308
52.544367,13.453392,1611852731208
52.544209,13.453570,1611852734608
52.544079,13.453737,1611852737341
52.543968,13.453800,1611852740410
52.543823,13.453630,1611852743341
52.543719,13.453471,1611852746175
52.543545,13.453573,1611852749519
52.543398,13.453810,1611852752275
52.543191,13.453895,1611852755412
52.542956,13.454023,1611852758409
52.542802,13.454288,1611852761275
52.542650,13.454536,1611852764375
52.542516,13.454799,1611852767342
52.542404,13.455021,1611852770208
52.542339,13.455004,1611852773309
52.542221,13.454890,1611852776309
52.542094,13.454768,1611852779276
52.541977,13.454625,1611852782209
52.541868,13.454489,1611852785245
52.541844,13.454465,1611852788410
52.541832,13.454428,1611852791409
52.541752,13.454394,1611852794209
52.541630,13.454688,1611852798210
52.541518,13.454940,1611852801210
52.541288,13.455152,1611852805219
52.541022,13.455072,1611852809210
52.540874,13.454871,1611852812443
52.540687,13.454562,1611852816616
52.540538,13.454336,1611852819177
52.540394,13.454100,1611852822179
52.540255,13.453868,1611852825210
52.540095,13.453615,1611852828182
52.539957,13.453386,1611852831211
52.539804,13.453154,1611852834344
52.539645,13.452921,1611852837344
52.539497,13.452692,1611852840544
52.539346,13.452477,1611852843177
52.539185,13.452250,1611852846310
52.539013,13.452013,1611852849177
52.538844,13.451799,1611852852344
52.538674,13.451599,1611852855344
