lat,long,timeStamp
52.486440,13.359907,1611347221439
52.486412,13.360001,1611347224209
52.486380,13.360050,1611347227222
52.486351,13.360078,1611347230443
52.486311,13.360167,1611347233164
52.486260,13.360303,1611347236313
52.486220,13.360452,1611347239226
52.486177,13.360610,1611347242153
52.486128,13.360756,1611347245313
52.486072,13.360905,1611347248213
52.486023,13.361060,1611347251270
52.485967,13.361224,1611347254210
52.485905,13.361409,1611347257438
52.485849,13.361590,1611347260181
52.485799,13.361772,1611347263238
52.485696,13.361974,1611347266154
52.485570,13.362155,1611347269310
52.485550,13.362372,1611347272220
52.485486,13.362547,1611347275319
52.485415,13.362757,1611347278236
52.485355,13.362928,1611347281257
52.485305,13.363117,1611347284240
52.485242,13.363260,1611347287337
52.485205,13.363352,1611347290279
52.485201,13.363367,1611347294427
52.485201,13.363367,1611347298276
52.485206,13.363362,1611347302168
52.485160,13.363468,1611347306226
52.485087,13.363705,1611347310195
52.485048,13.363945,1611347314213
52.485064,13.364229,1611347318290
52.485065,13.364493,1611347322433
52.485001,13.364789,1611347326329
52.484998,13.365093,1611347330278
52.485020,13.365396,1611347334242
52.485017,13.365679,1611347338234
52.485028,13.365959,1611347342219
52.485042,13.366223,1611347346190
52.485038,13.366493,1611347350132
52.484995,13.366742,1611347354342
52.485038,13.367039,1611347358246
52.485060,13.367306,1611347362329
52.485053,13.367552,1611347366274
52.485047,13.367783,1611347370254
52.485041,13.367990,1611347374203
52.485039,13.368239,1611347378212
52.485044,13.368507,1611347382146
52.485047,13.368787,1611347386288
52.485045,13.369053,1611347390212
52.485054,13.369323,1611347394217
52.485075,13.369587,1611347398242
52.485076,13.369879,1611347402112
52.485075,13.370158,1611347406256
52.485068,13.370391,1611347409272
52.485062,13.370685,1611347413172
52.485073,13.370947,1611347417142
52.485073,13.371143,1611347420170
52.485076,13.371373,1611347424262
52.485069,13.371523,1611347427146
52.485069,13.371635,1611347430262
52.485070,13.371696,1611347433150
52.485073,13.371712,1611347436166
52.485065,13.371830,1611347439376
52.485069,13.371992,1611347442202
52.485061,13.372146,1611347445280
52.485042,13.372303,1611347448142
52.485043,13.372478,1611347451302
52.485025,13.372708,1611347454330
52.485017,13.372958,1611347457176
52.485028,13.373168,1611347460152
52.485034,13.373355,1611347463219
52.485041,13.373561,1611347466142
52.485043,13.373769,1611347469358
52.485036,13.373972,1611347472262
52.485025,13.374181,1611347475151
52.485032,13.374379,1611347478362
52.485045,13.374583,1611347481332
52.485042,13.374795,1611347484227
52.485027,13.375041,1611347487432
52.485048,13.375273,1611347490144
52.485010,13.375466,1611347493245
52.485036,13.375661,1611347496252
52.485027,13.375840,1611347499233
52.485018,13.375992,1611347502212
52.485005,13.376120,1611347505149
52.484999,13.376212,1611347508238
52.484985,13.376276,1611347511314
52.484982,13.376281,1611347514292
52.484982,13.376281,1611347518301
52.485003,13.376323,1611347521262
52.484981,13.376501,1611347524433
52.484957,13.376709,1611347527212
52.484954,13.376887,1611347530215
52.484939,13.377096,1611347533302
52.484938,13.377326,1611347536174
52.484937,13.377539,1611347539359
52.484956,13.377725,1611347542238
52.484963,13.377916,1611347545144
52.484963,13.378134,1611347548146
52.484951,13.378322,1611347551191
52.484941,13.378529,1611347554152
52.484947,13.378747,1611347557163
52.484955,13.378947,1611347560220
52.484953,13.379162,1611347563274
52.484949,13.379376,1611347566142
52.484954,13.379588,1611347569184
52.484962,13.379818,1611347572192
52.484966,13.380038,1611347575151
52.484965,13.380259,1611347578176
52.484976,13.380482,1611347581413
52.484949,13.380689,1611347584235
52.484938,13.380927,1611347587187
52.484933,13.381155,1611347590176
52.484929,13.381375,1611347593145
52.484953,13.381569,1611347596141
52.484938,13.381781,1611347599262
52.484940,13.381967,1611347602153
52.484950,13.382180,1611347605172
52.484946,13.382414,1611347608238
52.484958,13.382616,1611347611147
52.484966,13.382834,1611347614438
52.484965,13.383044,1611347617192
52.484959,13.383242,1611347620382
52.484956,13.383448,1611347623146
52.484950,13.383637,1611347626299
52.484966,13.383831,1611347629203
52.484953,13.384025,1611347632188
52.484942,13.384210,1611347635431
52.484945,13.384413,1611347638143
52.484936,13.384623,1611347641351
52.484934,13.384796,1611347644262
52.484909,13.384952,1611347647143
52.484885,13.385102,1611347650162
52.484871,13.385249,1611347653324
52.484854,13.385376,1611347656131
52.484844,13.385485,1611347659449
52.484842,13.385538,1611347662195
52.484843,13.385563,1611347665261
52.484843,13.385570,1611347669222
52.484843,13.385570,1611347672432
52.484843,13.385570,1611347675232
52.484843,13.385570,1611347678146
52.484843,13.385570,1611347681439
52.484843,13.385570,1611347684203
52.484843,13.385570,1611347687138
52.484844,13.385602,1611347690272
52.484831,13.385747,1611347693207
52.484819,13.385910,1611347696147
52.484813,13.386124,1611347699287
52.484796,13.386338,1611347702329
52.484774,13.386569,1611347705156
52.484721,13.386788,1611347708439
52.484667,13.386983,1611347711410
52.484602,13.387177,1611347714312
52.484531,13.387356,1611347717329
52.484477,13.387576,1611347721370
52.484444,13.387670,1611347724203
52.484424,13.387712,1611347727329
52.484423,13.387707,1611347730134
52.484428,13.387657,1611347734203
52.484428,13.387657,1611347737110
52.484428,13.387657,1611347740114
52.484428,13.387657,1611347744202
52.484428,13.387657,1611347748203
52.484428,13.387657,1611347752120
52.484435,13.387651,1611347756235
52.484435,13.387651,1611347760149
52.484435,13.387651,1611347764139
52.484418,13.387694,1611347768226
52.484365,13.387893,1611347772326
52.484310,13.388162,1611347776245
52.484285,13.388377,1611347780142
52.484255,13.388581,1611347784281
52.484241,13.388852,1611347788142
52.484224,13.389198,1611347792142
52.484194,13.389515,1611347796179
52.484161,13.389829,1611347800143
52.484148,13.390185,1611347804209
52.484136,13.390541,1611347808142
52.484124,13.390898,1611347812326
52.484103,13.391240,1611347816308
52.484080,13.391556,1611347820270
52.484084,13.391852,1611347824273
52.484050,13.392206,1611347828149
52.484068,13.392568,1611347832139
52.484060,13.392948,1611347836338
52.484014,13.393290,1611347840138
52.483966,13.393651,1611347844400
52.483929,13.393993,1611347848298
52.483907,13.394304,1611347852326
52.483910,13.394701,1611347856166
52.483893,13.395120,1611347860166
52.483860,13.395497,1611347864433
52.483847,13.395875,1611347868142
52.483849,13.396248,1611347872188
52.483866,13.396683,1611347876266
52.483864,13.397083,1611347880267
52.483850,13.397490,1611347884334
