lat,long,timeStamp
52.498129,13.447159,1614786826171
52.498024,13.447030,1614786829239
52.497912,13.446916,1614786832372
52.497755,13.446803,1614786835339
52.497616,13.446662,1614786838578
52.497480,13.446502,1614786841339
52.497310,13.446421,1614786844338
52.497159,13.446246,1614786847473
52.497004,13.446068,1614786850238
52.496878,13.445892,1614786853212
52.496706,13.445775,1614786856338
52.496558,13.445669,1614786859223
52.496370,13.445718,1614786862206
52.496216,13.445790,1614786865173
52.496078,13.445882,1614786868173
52.495971,13.446026,1614786871206
52.495880,13.446125,1614786874239
52.495732,13.445755,1614786877306
52.495598,13.445652,1614786880280
52.495466,13.445551,1614786883307
52.495324,13.445360,1614786886440
52.495206,13.445210,1614786889308
52.495113,13.445065,1614786892274
52.494960,13.444877,1614786895607
52.494766,13.444619,1614786899252
52.494565,13.444370,1614786903417
52.494324,13.444099,1614786907174
52.494140,13.443854,1614786911208
52.493948,13.443576,1614786915391
52.493814,13.443380,1614786918300
52.493737,13.443110,1614786921323
52.493753,13.442836,1614786924281
52.493826,13.442600,1614786927543
52.493892,13.442352,1614786930413
52.493978,13.442047,1614786933351
52.494063,13.441745,1614786936287
52.494137,13.441450,1614786939241
52.494207,13.441140,1614786942312
52.494295,13.440875,1614786945182
52.494357,13.440610,1614786948553
52.494455,13.440336,1614786951557
52.494503,13.440060,1614786954249
52.494568,13.439726,1614786957382
52.494686,13.439411,1614786960219
52.494788,13.439110,1614786963223
52.494852,13.438856,1614786966243
52.494914,13.438726,1614786969581
52.495006,13.438548,1614786972519
52.495082,13.438341,1614786975342
52.495130,13.438070,1614786978577
52.495221,13.437793,1614786981514
52.495288,13.437484,1614786984384
52.495388,13.437194,1614786987609
52.495509,13.436908,1614786990242
52.495609,13.436602,1614786993210
52.495733,13.436321,1614786996610
52.495833,13.436050,1614786999376
52.495928,13.435792,1614787002310
52.495987,13.435609,1614787005210
52.496020,13.435525,1614787008343
52.496066,13.435550,1614787011177
52.496086,13.435437,1614787014243
52.496133,13.435260,1614787017409
52.496182,13.435056,1614787020544
52.496292,13.434787,1614787024310
52.496349,13.434600,1614787027210
52.496373,13.434509,1614787031210
52.496249,13.434431,1614787035178
52.496139,13.434291,1614787039377
52.496057,13.434199,1614787042410
52.495960,13.434128,1614787045511
52.495819,13.434037,1614787048578
52.495646,13.433902,1614787051211
52.495474,13.433804,1614787054344
52.495321,13.433673,1614787057211
52.495143,13.433579,1614787060545
52.494992,13.433449,1614787063311
52.494872,13.433379,1614787066178
52.494819,13.433207,1614787069378
52.494718,13.433025,1614787072311
52.494618,13.432879,1614787075379
52.494452,13.432815,1614787078430
52.494312,13.432693,1614787081379
52.494193,13.432574,1614787084516
52.494052,13.432437,1614787087279
52.493930,13.432271,1614787090285
52.493701,13.432159,1614787093179
52.493507,13.431924,1614787096179
52.493347,13.431827,1614787099229
52.493218,13.431726,1614787102312
52.493118,13.431657,1614787105379
52.493072,13.431644,1614787108248
52.493045,13.431648,1614787111412
52.493008,13.431690,1614787114378
52.492986,13.431849,1614787117313
52.492971,13.431916,1614787120412
52.492938,13.432108,1614787123313
52.492883,13.432337,1614787126248
52.492819,13.432518,1614787129313
52.492775,13.432598,1614787132180
52.492708,13.432767,1614787135213
52.492631,13.432962,1614787138347
52.492568,13.433177,1614787141180
52.492518,13.433448,1614787144313
52.492368,13.433632,1614787147213
52.492272,13.433990,1614787151380
52.492217,13.434372,1614787155180
52.492149,13.434629,1614787158347
52.492088,13.434968,1614787162413
52.492018,13.435265,1614787166481
52.491957,13.435441,1614787169413
52.491945,13.435558,1614787172381
52.491857,13.435539,1614787175314
52.491644,13.435485,1614787178320
52.491523,13.435394,1614787181414
52.491389,13.435342,1614787184414
52.491301,13.435144,1614787187381
52.491358,13.434889,1614787190215
52.491417,13.434686,1614787193481
52.491485,13.434420,1614787196481
52.491516,13.434148,1614787199315
52.491569,13.433881,1614787202448
52.491642,13.433614,1614787205314
52.491724,13.433379,1614787208264
52.491782,13.433151,1614787211352
52.491672,13.432988,1614787214232
52.491567,13.432822,1614787217315
52.491437,13.432703,1614787220415
52.491315,13.432631,1614787223382
52.491191,13.432472,1614787226182
52.491062,13.432310,1614787229232
52.490943,13.432208,1614787232516
52.490822,13.432136,1614787235449
52.490734,13.432093,1614787238264
52.490715,13.431886,1614787241416
52.490729,13.431666,1614787244383
52.490729,13.431477,1614787247383
52.490761,13.431334,1614787250249
52.490801,13.431253,1614787253316
52.490775,13.431026,1614787256416
52.490801,13.430890,1614787259383
52.490799,13.430794,1614787262316
52.490864,13.430743,1614787265216
52.490870,13.430694,1614787268350
52.490917,13.430590,1614787271383
52.490914,13.430512,1614787275383
52.490954,13.430378,1614787279234
52.491010,13.430288,1614787283416
52.491062,13.430158,1614787287550
52.491089,13.430094,1614787290484
52.491116,13.429980,1614787294483
52.491133,13.429845,1614787297384
52.491143,13.429860,1614787300484
52.491163,13.429863,1614787303384
52.491146,13.429839,1614787306417
52.491165,13.429817,1614787309235
52.491154,13.429800,1614787312251
52.491141,13.429786,1614787315417
52.491167,13.429788,1614787318184
52.491163,13.429789,1614787321317
52.491167,13.429782,1614787324351
52.491180,13.429787,1614787327318
52.491189,13.429792,1614787330251
52.491189,13.429802,1614787333418
52.491202,13.429761,1614787336185
52.491207,13.429730,1614787339451
52.491217,13.429695,1614787342318
52.491170,13.429668,1614787345318
52.491167,13.429671,1614787348485
52.491186,13.429745,1614787351162
