lat,long,timeStamp
52.552544,13.449069,0
52.552392,13.449178,3
52.552248,13.449289,6
52.552086,13.449366,9
52.551955,13.449435,12
52.551859,13.449468,15
52.551712,13.44953,17
52.551563,13.449609,20
52.551396,13.449712,24
52.551269,13.449716,27
52.551193,13.449674,30
52.551099,13.449733,33
52.551018,13.449968,35
52.55094,13.450227,39
52.550851,13.450486,41
52.550758,13.450748,44
52.550693,13.451025,48
52.55061,13.451324,50
52.550522,13.451615,54
52.550442,13.451887,57
52.550351,13.452075,60
52.550254,13.452162,62
52.550224,13.452338,66
52.550182,13.45249,69
52.550118,13.452656,71
52.550116,13.452685,75
52.550142,13.452723,77
52.550162,13.452722,80
52.550146,13.452724,83
52.550144,13.452723,87
52.550145,13.452722,92
52.550108,13.452755,95
52.550115,13.452798,98
52.550099,13.452853,101
52.55009,13.452893,104
52.550056,13.452988,108
52.549981,13.452913,110
52.54986,13.452846,114
52.549695,13.452751,117
52.549532,13.452719,120
52.549324,13.45268,123
52.549132,13.452634,126
52.548952,13.45265,129
52.54883,13.452684,131
52.548821,13.452665,135
52.548811,13.452626,138
52.548816,13.452614,141
52.548811,13.452611,143
52.548811,13.45261,146
52.548799,13.452616,149
52.548777,13.452558,153
52.548753,13.452498,156
52.548718,13.452471,158
52.54868,13.452481,162
52.548635,13.452528,165
52.548585,13.452591,168
52.548536,13.452706,171
52.548409,13.452787,174
52.548242,13.452879,177
52.548075,13.452998,180
52.547884,13.453107,182
52.547742,13.45316,186
52.547748,13.453148,188
52.547694,13.453169,192
52.547584,13.453237,195
52.547477,13.453363,198
52.547333,13.453433,200
52.547199,13.4535,203
52.547041,13.453579,207
52.54689,13.453649,210
52.546701,13.453771,214
52.546503,13.453882,218
52.546317,13.453976,222
52.546111,13.454089,226
52.545932,13.454188,230
52.545797,13.454322,233
52.545643,13.454425,236
52.545481,13.454505,239
52.545329,13.454578,242
52.545175,13.454663,244
52.545041,13.45468,247
52.544939,13.454451,251
52.544872,13.454211,254
52.544785,13.453986,256
52.544707,13.453763,259
52.544654,13.453576,262
52.544582,13.453341,266
52.544453,13.453209,269
52.544367,13.453392,271
52.544209,13.45357,275
52.544079,13.453737,278
52.543968,13.4538,281
52.543823,13.45363,284
52.543719,13.453471,286
52.543545,13.453573,290
52.543398,13.45381,292
52.543191,13.453895,296
52.542956,13.454023,299
52.542802,13.454288,301
52.54265,13.454536,305
52.542516,13.454799,308
52.542404,13.455021,310
52.542339,13.455004,314
52.542221,13.45489,317
52.542094,13.454768,319
52.541977,13.454625,322
52.541868,13.454489,325
52.541844,13.454465,329
52.541832,13.454428,332
52.541752,13.454394,334
52.54163,13.454688,338
52.541518,13.45494,341
52.541288,13.455152,345
52.541022,13.455072,349
52.540874,13.454871,353
52.540687,13.454562,357
52.540538,13.454336,359
52.540394,13.4541,362
52.540255,13.453868,365
52.540095,13.453615,368
52.539957,13.453386,371
52.539804,13.453154,375
52.539645,13.452921,378
52.539497,13.452692,381
52.539346,13.452477,383
52.539185,13.45225,387
52.539013,13.452013,389
52.538844,13.451799,393
52.538674,13.451599,396
52.538515,13.451375,399
52.538385,13.451125,402
52.538242,13.450926,405
52.538115,13.450704,407
52.537986,13.45052,411
52.537871,13.450333,413
52.537761,13.450155,416
52.537661,13.449989,420
52.537574,13.449862,422
52.537468,13.449742,425
52.537366,13.449527,429
52.53721,13.449288,432
52.537054,13.449029,435
52.536894,13.448774,438
52.536729,13.448543,441
52.536562,13.448257,444
52.536389,13.448004,447
52.536231,13.447742,450
52.536062,13.447496,453
52.535926,13.447253,456
52.535768,13.447026,459
52.535625,13.446789,462
52.535413,13.446464,466
52.535186,13.446113,470
52.534953,13.445742,474
52.534712,13.445376,478
52.53448,13.44502,482
52.534308,13.444759,485
52.534155,13.444488,488
52.534037,13.444291,491
52.533942,13.44413,494
52.5339,13.444031,497
52.533914,13.444024,500
52.533916,13.444019,502
52.533923,13.444024,506
52.533931,13.44403,508
52.533932,13.444033,512
52.533932,13.444033,515
52.533932,13.444033,517
52.533932,13.444033,521
52.533921,13.444028,524
52.533866,13.443944,527
52.533764,13.443791,530
52.533644,13.443586,532
52.533501,13.443374,535
52.533338,13.44317,538
52.533166,13.442961,541
52.532986,13.442661,545
52.532784,13.44233,548
52.532587,13.441982,551
52.532401,13.441658,554
52.532179,13.441429,557
52.531909,13.441495,560
52.531684,13.441735,563
52.53146,13.441956,566
52.53124,13.442158,569
52.531025,13.442385,572
52.530824,13.442598,575
52.530637,13.442811,578
52.53046,13.443004,581
52.530282,13.443192,584
52.530097,13.443386,587
52.529859,13.443579,591
52.529715,13.443746,594
52.529581,13.443865,597
52.529568,13.44387,602
52.529541,13.443877,605
52.529532,13.443884,609
52.529531,13.4439,612
52.529507,13.443921,614
52.529445,13.443971,618
52.529327,13.444112,621
52.529212,13.444263,624
52.52907,13.444455,627
52.528922,13.444652,630
52.528749,13.444828,633
52.528588,13.444997,635
52.528433,13.44521,639
52.528237,13.44538,641
52.528067,13.445578,645
52.527872,13.44575,648
52.527681,13.445888,650
52.527488,13.446089,653
52.527309,13.446256,656
52.527129,13.446428,659
52.526964,13.446589,662
52.526812,13.446761,665
52.526663,13.446893,669
52.526534,13.446995,672
52.526479,13.447122,674
52.526445,13.44713,678
52.526435,13.44711,681
52.526442,13.447101,684
52.526451,13.447087,687
52.526454,13.447087,689
52.526457,13.447088,692
52.526457,13.447097,695
52.52646,13.447099,699
52.526463,13.447093,701
52.526461,13.447079,705
52.526423,13.447139,708
52.526323,13.447237,711
52.526196,13.447366,714
52.525969,13.447553,718
52.525734,13.447685,722
52.525482,13.447857,726
52.52523,13.448055,730
52.524965,13.448266,734
52.524769,13.448385,737
52.524565,13.448523,739
52.524373,13.448631,743
52.524179,13.448744,746
52.523988,13.448885,749
52.523785,13.449031,752
52.523576,13.449175,754
52.523386,13.449338,758
52.523167,13.449467,761
52.522953,13.449611,764
52.522724,13.449773,766
52.522499,13.449921,769
52.522266,13.450057,773
52.522045,13.450219,776
52.521817,13.450396,778
52.521589,13.45058,781
52.521343,13.450757,785
52.521068,13.450956,788
52.520814,13.45114,790
52.520575,13.451327,793
52.520341,13.451465,796
52.520106,13.451647,800
52.519851,13.451787,803
52.519618,13.451915,806
52.519391,13.452071,809
52.519192,13.452177,811
52.518973,13.452288,815
52.51875,13.452417,818
52.518548,13.452465,820
52.518318,13.452362,824
52.518163,13.452712,826
52.518048,13.452872,829
52.517826,13.452974,832
52.517584,13.453025,835
52.517343,13.453099,839
52.517007,13.453249,843
52.516766,13.45329,846
52.516507,13.453419,850
52.51637,13.453471,854
52.516369,13.453477,856
52.516355,13.453436,861
52.516349,13.453421,864
52.51636,13.453409,867
52.516366,13.453428,870
52.51636,13.453436,872
52.516354,13.453446,876
52.516355,13.453451,878
52.516355,13.453451,882
52.516355,13.453451,885
52.516343,13.453433,887
52.51633,13.453423,891
52.51633,13.453423,894
52.51633,13.453423,897
52.516316,13.453377,900
52.516238,13.45344,903
52.516108,13.45345,905
52.51593,13.45353,909
52.51572,13.453594,912
52.5155,13.453553,914
52.515256,13.453456,917
52.51501,13.453355,921
52.514764,13.453265,924
52.514525,13.453155,926
52.514288,13.453065,930
52.514037,13.452972,932
52.513779,13.452884,936
52.513548,13.452785,939
52.513311,13.452689,941
52.513087,13.452582,945
52.512873,13.452476,948
52.512713,13.452317,951
52.512502,13.452313,954
52.512267,13.452245,957
52.51203,13.452119,960
52.511789,13.451994,963
52.51153,13.451874,966
52.511216,13.45169,969
52.510883,13.451488,974
52.510536,13.451369,978
52.510217,13.451245,981
52.509923,13.451093,986
52.50971,13.450967,988
52.509475,13.45089,991
52.509268,13.450766,995
52.509086,13.450767,997
52.508937,13.450734,1001
52.5088,13.450676,1003
52.508745,13.45065,1006
52.508661,13.450558,1009
52.508514,13.450452,1013
52.508342,13.450394,1015
52.508184,13.45034,1019
52.508042,13.450281,1022
