lat,long
52.545083,13.414783
52.545294,13.41276
52.544371,13.412508
52.54316,13.412247
52.542837,13.412177
52.541901,13.408085
52.541306,13.408227
52.541044,13.406703
52.540609,13.404585
52.540549,13.404318
52.540324,13.403472
52.540092,13.402552
52.539841,13.401588
52.539478,13.400325
52.539131,13.399107
52.538802,13.397934
52.538577,13.397132
52.538256,13.396091
52.537404,13.39343
52.536116,13.391194
52.535514,13.390262
52.535426,13.390112
52.533721,13.388172
52.533378,13.387454
52.533168,13.386976
52.53301,13.386603
52.532405,13.385156
52.532064,13.384277
52.531251,13.382175
52.530503,13.383106
52.530123,13.381711
52.529501,13.379395
52.529388,13.379038
52.529223,13.378459
52.529067,13.377924
52.529007,13.377716
52.528487,13.375948
52.528061,13.374536
52.52794,13.374149
52.527711,13.374465
52.527198,13.374566
52.526883,13.374599
52.526642,13.374459
52.52592,13.373817
52.524644,13.373789
52.523395,13.373747
