Ride,Speed (km/s)
VM2_-1002730652,0.005124010115794453
VM2_-1003195918,0.0053235795054286175
VM2_-1003418324,0.005739236642922641
VM2_-1004970380,0.003487649470753179
VM2_-1008095372,0.0028144939570862
VM2_-100838566,0.005688497997930649
VM2_-1011761369,0.0053813033397728405
VM2_-1012528435,0.004484673614827801
VM2_-1018514671,0.004800569100695274
VM2_-1020864937,0.0029845632933384763
VM2_-1030824351,0.004484838839815257
VM2_-1031311185,0.004067068160624541
VM2_-1033342055,0.005234188077834051
VM2_-1042395089,0.004783642295079298
VM2_-1048010531,0.005487934602418677
VM2_-1048043801,0.0030351919229303533
VM2_-1048986081,0.0032734696490226843
VM2_-1054364325,0.0034767343869078937
VM2_-1054975248,0.005215633022198697
VM2_-1056713498,0.004342872315389372
VM2_-1058384958,0.0038325678903268477
VM2_-1059125850,0.004858395629377949
VM2_-1060459581,0.002869546359744192
VM2_-1069533547,0.00379835204406727
VM2_-1070670038,0.0029977807748283727
VM2_-1070772945,0.0031351253506567054
VM2_-1071962580,0.005279068148382315
VM2_-1072839884,0.004545579049770315
VM2_-1073903872,0.004739236848617945
VM2_-1074593452,0.004569872164714999
VM2_-1075010755,0.0038894403808034804
VM2_-1077947603,0.004693468434732327
VM2_-1077964841,0.004080289434993295
VM2_-108208252,0.005699595546916507
VM2_-1085179087,0.0057637244699009675
VM2_-1085991732,0.003407166236157508
VM2_-1086830455,0.005444939415037182
VM2_-1087248499,0.0049686661369596485
VM2_-1089691452,0.0036269998769497477
VM2_-1090213685,0.004815058268108297
VM2_-1095849573,0.00558954326058099
VM2_-1099519304,0.004631860699241285
VM2_-110299993,0.005421727593701544
VM2_-1105884185,0.0008307426512164286
VM2_-1108606326,0.0014654953996218979
VM2_-1111207283,0.00559283563084061
VM2_-111142019,0.0036956499572688875
VM2_-1117508532,0.00564141374415148
VM2_-1124381340,0.00469677891074424
VM2_-1127481822,0.003970949771889223
VM2_-1131055016,0.004199123003662284
VM2_-1134821901,0.004526958458008925
VM2_-1136650773,0.005084523757945049
VM2_-1141845505,0.005770752898374134
VM2_-1151322333,0.000701222765443957
VM2_-1156320945,0.004690787455555114
VM2_-1172843562,0.004225538959472787
VM2_-11801195,0.0028507565926833476
VM2_-1194961535,0.00274654297445934
VM2_-1195244315,0.004057755940796344
VM2_-1197601259,0.0027436077588941063
VM2_-1197908481,0.005693966581552342
VM2_-1201653915,0.005797543822342607
VM2_-1208728200,0.0038461971598029265
VM2_-1220393958,0.003034699383936527
VM2_-1221832951,0.0033371298892657655
VM2_-1232648097,0.00573357560689327
VM2_-1246575872,0.005892716144755201
VM2_-1247102282,0.003965890978488146
VM2_-1247504726,0.0032844327235173605
VM2_-1254745040,0.0033655070769785423
VM2_-125596231,0.002270342952985892
VM2_-1261738965,0.005585648504076974
VM2_-1263131870,0.0021718212395604765
VM2_-1265849199,0.002028295528007537
VM2_-1270166117,0.0039192700326222156
VM2_-1276498029,0.003869064222847862
VM2_-127731120,0.005993728263464305
VM2_-1287931123,0.005964399473774505
VM2_-129667621,0.005770069477733421
VM2_-1300876130,0.0053760604602053775
VM2_-130967311,0.004283743176905678
VM2_-131165492,0.0048271211994691835
VM2_-1314003070,0.004541029477878125
VM2_-1319811517,0.00517353994221512
VM2_-1321442728,0.004400589793224525
VM2_-1324118405,0.004064994722708301
VM2_-1324882790,0.0057937735043479205
VM2_-1325557394,0.004776316234189903
VM2_-1339304004,0.004352775965103437
VM2_-1340559715,0.00602397782881113
VM2_-1342558976,0.003449926591378935
VM2_-1344031740,0.0031743192640337143
VM2_-1345019658,0.005990119386820977
VM2_-1348942546,0.00205181295371081
VM2_-1349058654,0.003319594643640947
VM2_-1354619097,0.003974275103483088
VM2_-1360421149,0.0039814226727501135
VM2_-1364619276,0.004379846071346933
VM2_-1371659954,0.004353845265420682
VM2_-1377979212,0.004740579265466012
VM2_-1392777742,0.005303705370554547
VM2_-1393075041,0.003893067142084393
VM2_-1395095196,0.003766008910980465
VM2_-139534585,0.003652832228366279
VM2_-1401301376,0.004952057039477555
VM2_-1404028446,0.0029142572930288386
VM2_-1410393883,0.005856328847918808
VM2_-1416520058,0.00540002248086827
VM2_-142091233,0.004619245489781834
VM2_-1425725573,0.00541134414683381
VM2_-1426114683,0.003975693675714854
VM2_-1428776313,0.005402353416877512
VM2_-1432714539,0.0051745771104034334
VM2_-1435199565,0.00600056147679371
VM2_-1435761340,0.0051401042918508095
VM2_-1435965679,0.003877395440604113
VM2_-1436905480,0.0008747247189674307
VM2_-1441315566,0.004240665531584986
VM2_-1443487497,0.004701426529362271
VM2_-1444944219,0.0032941442267950126
VM2_-144573576,0.0038630051127071584
